text,label
"Colaborador sem capacete na área operacional","EPI"
"Trabalhador utilizando óculos e luvas de proteção","EPI"
"Ausência de proteção auditiva próximo ao equipamento","EPI"
"Funcionário sem cinto para atividade em altura","EPI"
"Fumaça saindo do painel elétrico","Incêndio"
"Princípio de incêndio próximo ao motor","Incêndio"
"Cheiro de queimado e aquecimento dos cabos","Incêndio"
"Extintor descarregado na área de risco","Incêndio"
"Iluminação deficiente com risco de tropeço","Queda"
"Piso molhado e escorregadio no corredor","Queda"
"Material obstruindo a rota de passagem","Queda"
"Passarela sem guarda-corpo lateral","Queda"
"Vazamento de óleo na conexão hidráulica","Vazamento"
"Presença de líquido sob a tubulação","Vazamento"
"Mangueira danificada liberando fluido","Vazamento"
"Gotejamento contínuo próximo à válvula","Vazamento"
